DATE,VALUE
2007-11-27,1.49301
2007-11-28,2.85598
2007-11-29,0.04765
2007-11-30,0.77702
2007-12-03,-0.58874
2007-12-04,-0.65403
2007-12-05,1.51902
2007-12-06,1.50369
2007-12-07,-0.17780
2007-12-10,0.75100
2007-12-11,-2.52711
2007-12-12,0.60501
2007-12-13,0.12243
2007-12-14,-1.37462
2007-12-17,-1.50209
2007-12-18,0.62798
2007-12-19,-0.13608
2007-12-20,0.49002
2007-12-21,1.66699
2007-12-24,0.80770
2007-12-25,.
2007-12-26,.
2007-12-27,-1.42155
2007-12-28,0.14360
2007-12-31,-0.68516
2008-01-01,.
2008-01-02,.
2008-01-03,0.00000
2008-01-04,-2.45515
2008-01-07,0.32232
2008-01-08,-1.83522
2008-01-09,1.36240
2008-01-10,0.79482
2008-01-11,-1.35954
2008-01-14,1.08707
2008-01-15,-2.49250
2008-01-16,-0.56121
2008-01-17,-2.90926
2008-01-18,-0.60454
2008-01-21,.
2008-01-22,.
2008-01-23,2.14422
2008-01-24,1.00628
2008-01-25,-1.58720
2008-01-28,1.75559
2008-01-29,0.61523
2008-01-30,-0.47640
2008-01-31,1.67723
2008-02-01,1.22375
2008-02-04,-1.04628
2008-02-05,-3.19955
2008-02-06,-0.76236
2008-02-07,0.78857
2008-02-08,-0.42037
2008-02-11,0.58890
2008-02-12,0.72659
2008-02-13,1.36041
2008-02-14,-1.34215
2008-02-15,0.08377
2008-02-18,.
2008-02-19,.
2008-02-20,0.83409
2008-02-21,-1.28674
2008-02-22,0.78806
2008-02-25,1.38126
2008-02-26,0.69179
2008-02-27,-0.09194
2008-02-28,-0.89419
2008-02-29,-2.70897
2008-03-03,0.05336
2008-03-04,-0.34477
2008-03-05,0.52384
2008-03-06,-2.20139
2008-03-07,-0.84104
2008-03-10,-1.54635
2008-03-11,3.71298
2008-03-12,-0.89956
2008-03-13,0.51270
2008-03-14,-2.07833
2008-03-17,-0.89587
2008-03-18,4.24095
2008-03-19,-2.42872
2008-03-20,2.39445
2008-03-21,.
2008-03-24,.
2008-03-25,0.23039
2008-03-26,-0.87658
2008-03-27,-1.14605
2008-03-28,-0.79502
2008-03-31,0.56873
2008-04-01,3.58963
2008-04-02,-0.19341
2008-04-03,0.13016
2008-04-04,0.07960
2008-04-07,0.15616
2008-04-08,-0.51000
2008-04-09,-0.80920
2008-04-10,0.44740
2008-04-11,-2.03741
2008-04-14,-0.33838
2008-04-15,0.45998
2008-04-16,2.26913
2008-04-17,0.06228
2008-04-18,1.81391
2008-04-21,-0.15536
2008-04-22,-0.88102
2008-04-23,0.28998
2008-04-24,0.64424
2008-04-25,0.64947
2008-04-28,-0.10516
2008-04-29,-0.38887
2008-04-30,-0.38463
2008-05-01,1.71407
2008-05-02,0.32356
2008-05-05,-0.45336
2008-05-06,0.76519
2008-05-07,-1.81137
2008-05-08,0.36695
2008-05-09,-0.67254
2008-05-12,1.10208
2008-05-13,-0.03847
2008-05-14,0.40056
2008-05-15,1.05845
2008-05-16,0.12504
2008-05-19,0.08980
2008-05-20,-0.92736
2008-05-21,-1.60535
2008-05-22,0.26174
2008-05-23,-1.32105
2008-05-26,.
2008-05-27,.
2008-05-28,0.39629
2008-05-29,0.53349
2008-05-30,0.15162
2008-06-02,-1.05043
2008-06-03,-0.57878
2008-06-04,-0.03266
2008-06-05,1.94961
2008-06-06,-3.08892
2008-06-09,0.07937
2008-06-10,-0.24380
2008-06-11,-1.68944
2008-06-12,0.32797
2008-06-13,1.50462
2008-06-16,0.00809
2008-06-17,-0.67714
2008-06-18,-0.97118
2008-06-19,0.37524
2008-06-20,-1.85429
2008-06-23,0.00531
2008-06-24,-0.28149
2008-06-25,0.58435
2008-06-26,-2.93653
2008-06-27,-0.37174
2008-06-30,0.12672
2008-07-01,0.38359
2008-07-02,-1.82036
2008-07-03,0.10939
2008-07-04,.
2008-07-07,.
2008-07-08,1.70804
2008-07-09,-2.27762
2008-07-10,0.69897
2008-07-11,-1.10899
2008-07-14,-0.90279
2008-07-15,-1.09012
2008-07-16,2.50636
2008-07-17,1.20126
2008-07-18,0.02856
2008-07-21,-0.05394
2008-07-22,1.34921
2008-07-23,0.40642
2008-07-24,-2.31245
2008-07-25,0.41675
2008-07-28,-1.85966
2008-07-29,2.33560
2008-07-30,1.66719
2008-07-31,-1.31438
2008-08-01,-0.55784
2008-08-04,-0.89660
2008-08-05,2.87187
2008-08-06,0.33544
2008-08-07,-1.79337
2008-08-08,2.38928
2008-08-11,0.69427
2008-08-12,-1.20507
2008-08-13,-0.29157
2008-08-14,0.55217
2008-08-15,0.40760
2008-08-18,-1.50978
2008-08-19,-0.93149
2008-08-20,0.61973
2008-08-21,0.24950
2008-08-22,1.13327
2008-08-25,-1.96254
2008-08-26,0.36863
2008-08-27,0.79826
2008-08-28,1.48401
2008-08-29,-1.37236
2008-09-01,.
2008-09-02,.
2008-09-03,-0.20351
2008-09-04,-2.99220
2008-09-05,0.44307
2008-09-08,2.05102
2008-09-09,-3.41381
2008-09-10,0.61494
2008-09-11,1.38064
2008-09-12,0.21216
2008-09-15,-4.71359
2008-09-16,1.75149
2008-09-17,-4.71329
2008-09-18,4.33418
2008-09-19,4.02566
2008-09-22,-3.82366
2008-09-23,-1.56326
2008-09-24,-0.19777
2008-09-25,1.96565
2008-09-26,0.31674
2008-09-29,-8.78970
2008-09-30,5.42033
2008-10-01,-0.45441
2008-10-02,-4.02908
2008-10-03,-1.35065
2008-10-06,-3.85179
2008-10-07,-5.73948
2008-10-08,-1.13327
2008-10-09,-7.61671
2008-10-10,-1.17593
2008-10-13,11.58004
2008-10-14,-0.53222
2008-10-15,-9.03498
2008-10-16,4.25075
2008-10-17,-0.62128
2008-10-20,4.76849
2008-10-21,-3.07997
2008-10-22,-6.10125
2008-10-23,1.26341
2008-10-24,-3.45112
2008-10-27,-3.17643
2008-10-28,10.78900
2008-10-29,-1.10791
2008-10-30,2.58040
2008-10-31,1.53654
2008-11-03,-0.25290
2008-11-04,4.08258
2008-11-05,-5.26771
2008-11-06,-5.02640
2008-11-07,2.88547
2008-11-10,-1.26532
2008-11-11,-2.20407
2008-11-12,-5.18939
2008-11-13,6.92127
2008-11-14,-4.16991
2008-11-17,-2.58104
2008-11-18,0.98384
2008-11-19,-6.11556
2008-11-20,-6.71229
2008-11-21,6.32476
2008-11-24,6.47226
2008-11-25,0.65508
2008-11-26,3.53281
2008-11-27,.
2008-11-28,.
2008-12-01,-8.92953
2008-12-02,3.99407
2008-12-03,2.58362
2008-12-04,-2.93084
2008-12-05,3.64994
2008-12-08,3.83873
2008-12-09,-2.31175
2008-12-10,1.18942
2008-12-11,-2.85241
2008-12-12,0.70285
2008-12-15,-1.26857
2008-12-16,5.13603
2008-12-17,-0.95929
2008-12-18,-2.11627
2008-12-19,0.29369
